timestamp,worker_id,zone_id,event_type
2026-07-01T20:06:13.789862,W-93,Z-9,ENTRY
2026-07-01T20:06:13.789862,W-109,Z-2,ENTRY
2026-07-01T20:06:13.789862,W-54,Z-5,ENTRY
2026-07-01T20:06:13.789862,W-23,Z-8,ENTRY
2026-07-01T20:06:13.789862,W-66,Z-10,ENTRY
2026-07-01T20:06:13.789862,W-19,Z-10,ENTRY
2026-07-01T20:06:13.789862,W-89,Z-4,ENTRY
2026-07-01T20:06:13.789862,W-199,Z-9,ENTRY
2026-07-01T20:31:13.789862,W-246,Z-9,ENTRY
2026-07-01T20:31:13.789862,W-168,Z-9,ENTRY
2026-07-01T20:31:13.789862,W-205,Z-5,ENTRY
2026-07-01T20:31:13.789862,W-46,Z-7,ENTRY
2026-07-01T20:31:13.789862,W-202,Z-8,ENTRY
2026-07-01T20:56:13.789862,W-50,Z-4,ENTRY
2026-07-01T20:56:13.789862,W-156,Z-10,ENTRY
2026-07-01T20:56:13.789862,W-4,Z-8,ENTRY
2026-07-01T20:56:13.789862,W-218,Z-7,ENTRY
2026-07-01T20:56:13.789862,W-30,Z-6,ENTRY
2026-07-01T20:56:13.789862,W-222,Z-1,ENTRY
2026-07-01T20:56:13.789862,W-9,Z-2,ENTRY
2026-07-01T21:21:13.789862,W-21,Z-4,ENTRY
2026-07-01T21:21:13.789862,W-157,Z-2,ENTRY
2026-07-01T21:21:13.789862,W-86,Z-5,ENTRY
2026-07-01T21:21:13.789862,W-135,Z-1,ENTRY
2026-07-01T21:21:13.789862,W-79,Z-5,ENTRY
2026-07-01T21:21:13.789862,W-47,Z-4,ENTRY
2026-07-01T21:46:13.789862,W-249,Z-5,ENTRY
2026-07-01T21:46:13.789862,W-128,Z-10,ENTRY
2026-07-01T21:46:13.789862,W-41,Z-2,ENTRY
2026-07-01T21:46:13.789862,W-67,Z-10,ENTRY
2026-07-01T21:46:13.789862,W-155,Z-1,ENTRY
2026-07-01T21:46:13.789862,W-23,Z-1,ENTRY
2026-07-01T21:46:13.789862,W-222,Z-9,ENTRY
2026-07-01T21:46:13.789862,W-244,Z-7,ENTRY
2026-07-01T21:46:13.789862,W-25,Z-7,ENTRY
2026-07-01T21:46:13.789862,W-199,Z-5,ENTRY
2026-07-01T21:46:13.789862,W-212,Z-8,ENTRY
2026-07-01T22:11:13.789862,W-80,Z-10,ENTRY
2026-07-01T22:11:13.789862,W-147,Z-2,ENTRY
2026-07-01T22:11:13.789862,W-88,Z-8,ENTRY
2026-07-01T22:11:13.789862,W-58,Z-9,ENTRY
2026-07-01T22:11:13.789862,W-170,Z-1,ENTRY
2026-07-01T22:36:13.789862,W-117,Z-10,ENTRY
2026-07-01T22:36:13.789862,W-241,Z-10,ENTRY
2026-07-01T22:36:13.789862,W-98,Z-8,ENTRY
2026-07-01T22:36:13.789862,W-171,Z-4,ENTRY
2026-07-01T22:36:13.789862,W-100,Z-8,ENTRY
2026-07-01T22:36:13.789862,W-47,Z-1,ENTRY
2026-07-01T22:36:13.789862,W-150,Z-7,ENTRY
2026-07-01T22:36:13.789862,W-31,Z-1,ENTRY
2026-07-01T22:36:13.789862,W-206,Z-3,ENTRY
2026-07-01T22:36:13.789862,W-195,Z-4,ENTRY
2026-07-01T22:36:13.789862,W-118,Z-3,ENTRY
2026-07-01T23:01:13.789862,W-79,Z-4,ENTRY
2026-07-01T23:01:13.789862,W-173,Z-3,ENTRY
2026-07-01T23:01:13.789862,W-15,Z-6,ENTRY
2026-07-01T23:01:13.789862,W-131,Z-7,ENTRY
2026-07-01T23:01:13.789862,W-146,Z-10,ENTRY
2026-07-01T23:01:13.789862,W-113,Z-3,ENTRY
2026-07-01T23:01:13.789862,W-230,Z-5,ENTRY
2026-07-01T23:01:13.789862,W-234,Z-6,ENTRY
2026-07-01T23:01:13.789862,W-159,Z-8,ENTRY
2026-07-01T23:01:13.789862,W-27,Z-6,ENTRY
2026-07-01T23:01:13.789862,W-93,Z-8,ENTRY
2026-07-01T23:26:13.789862,W-41,Z-8,ENTRY
2026-07-01T23:26:13.789862,W-120,Z-1,ENTRY
2026-07-01T23:26:13.789862,W-31,Z-2,ENTRY
