timestamp,zone_id,sensor_anomaly_score,active_permits,permit_overlap_count,has_hot_work,has_confined_space,has_electrical_isolation,simops_conflict,worker_count,worker_exposure_duration,maintenance_overdue,equipment_health_avg,recent_near_miss_count,shift_change,risk_score,is_incident_imminent,combustible_gas_val,combustible_gas_avg_30m,combustible_gas_std_30m,combustible_gas_slope_30m,toxic_gas_val,toxic_gas_avg_30m,toxic_gas_std_30m,toxic_gas_slope_30m,oxygen_val,oxygen_avg_30m,oxygen_std_30m,oxygen_slope_30m,ventilation_val,ventilation_avg_30m,ventilation_std_30m,ventilation_slope_30m,pressure_val,pressure_avg_30m,pressure_std_30m,pressure_slope_30m,vibration_val,vibration_avg_30m,vibration_std_30m,vibration_slope_30m,temperature_val,temperature_avg_30m,temperature_std_30m,temperature_slope_30m
2026-07-01T12:16:37.608452,Z-1,0.235,0,0,0,0,0,0,26,36,215,94.76428571428572,0,1,11.57,0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,20.882,20.882,0.0,0.0,95.061,95.061,0.0,0.0,10.006,10.006,0.0,0.0,1.202,1.202,0.0,0.0,25.119,25.119,0.0,0.0
2026-07-01T12:16:37.608452,Z-2,0.129,0,0,0,0,0,0,23,61,155,95.038,0,1,10.16,0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,20.895,20.895,0.0,0.0,94.823,94.823,0.0,0.0,10.066,10.066,0.0,0.0,1.177,1.177,0.0,0.0,24.793,24.793,0.0,0.0
2026-07-01T12:16:37.608452,Z-3,0.255,0,0,0,0,0,0,26,65,175,96.66000000000001,0,1,6.46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.882,20.882,0.0,0.0,94.836,94.836,0.0,0.0,9.94,9.94,0.0,0.0,1.194,1.194,0.0,0.0,24.864,24.864,0.0,0.0
2026-07-01T12:16:37.608452,Z-5,0.045,0,0,0,0,0,0,19,73,161,94.54333333333334,0,1,5.6,0,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,20.892,20.892,0.0,0.0,95.032,95.032,0.0,0.0,10.057,10.057,0.0,0.0,1.191,1.191,0.0,0.0,24.869,24.869,0.0,0.0
2026-07-01T12:16:37.608452,Z-10,0.085,0,0,0,0,0,0,27,49,143,93.424,0,1,11.01,0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,20.912,20.912,0.0,0.0,95.194,95.194,0.0,0.0,0.0,0.0,0.0,0.0,1.225,1.225,0.0,0.0,25.092,25.092,0.0,0.0
2026-07-01T12:21:37.608452,Z-5,0.042,0,0,0,0,0,0,19,26,161,94.54333333333334,0,0,11.14,0,0.012,0.013,0.002,-0.001,0.0,0.0,0.0,0.0,20.91,20.901,0.009,0.004,95.157,95.094,0.063,0.025,10.135,10.096,0.039,0.016,1.238,1.215,0.023,0.009,24.67,24.77,0.1,-0.04
2026-07-01T12:21:37.608452,Z-6,0.195,0,0,0,0,0,0,20,76,143,96.842,0,0,8.88,0,0.014,0.014,0.0,-0.0,0.0,0.0,0.0,0.0,20.897,20.898,0.001,-0.0,95.111,95.096,0.015,0.006,9.938,9.945,0.008,-0.003,1.129,1.143,0.014,-0.005,25.021,25.102,0.08,-0.032
2026-07-01T12:26:37.608452,Z-2,0.139,0,0,0,0,0,0,23,77,155,95.038,0,0,10.94,0,0.014,0.01,0.007,0.001,0.0,0.004,0.005,-0.001,20.924,20.91,0.012,0.003,95.067,94.934,0.101,0.024,10.052,10.071,0.017,-0.001,1.201,1.177,0.019,0.002,24.643,24.731,0.064,-0.015
2026-07-01T12:26:37.608452,Z-4,0.24,0,0,0,0,0,0,22,40,133,96.854,0,0,5.47,0,0.003,0.004,0.003,0.0,0.032,0.021,0.009,0.002,20.923,20.91,0.009,0.002,94.753,94.793,0.052,-0.011,10.04,9.974,0.049,0.012,1.274,1.254,0.02,0.005,25.121,25.168,0.079,0.002
2026-07-01T12:26:37.608452,Z-6,0.057,0,0,0,0,0,0,20,56,143,96.842,0,0,5.57,0,0.011,0.013,0.001,-0.0,0.0,0.0,0.0,0.0,20.9,20.898,0.001,0.0,95.011,95.068,0.042,-0.007,9.988,9.959,0.021,0.004,1.122,1.136,0.015,-0.003,25.093,25.099,0.066,-0.009
